trial, batch_size, Iterations,lr, weight_decay, Dropout ,Val_MSE 
1,64,523,0.00017553088964882842,1.0853140221255032e-06,0.3,0.10326212799797456
2,16,776,0.0001724066328307463,1.0247728101319965e-06,0.5,0.09987125977089531
3,128,630,0.0006347378638306449,5.209306299292655e-05,0.4,0.09128718450665474
4,16,662,0.00016542050302633518,3.310623040623836e-06,0.2,0.10294685975501412
5,16,529,8.688942039906148e-05,5.585686070197928e-05,0.4,0.0926870404889709
6,64,620,0.000301679027824001,5.016534534141198e-05,0.3,0.09488470014184713
7,16,792,0.0005325698023847264,1.0922757188422126e-06,0.2,0.10684973934763356
8,64,627,0.0007584143770398426,1.9751787066726198e-06,0.2,0.10034152896453936
9,64,964,0.00018078869626600755,2.1085900750105514e-05,0.3,0.09790231970449288
10,64,929,0.00012167675509364461,3.281701247160144e-06,0.2,0.10774966577688853
11,64,992,0.0003974753832304022,1.947821621910124e-06,0.3,0.10447789076715708
12,128,645,0.00019198496569336254,5.906060690682854e-06,0.4,0.10062170152862866
13,64,893,0.00017914301135632293,2.1315506637934347e-06,0.2,0.10737429093569517
14,64,585,0.00013793417854213888,1.0555310977064349e-05,0.4,0.09833506712069114
15,32,738,8.460864712044222e-05,5.194459596505992e-06,0.5,0.09673214455445607
16,32,895,0.00019171358115204585,2.5264817527923458e-05,0.4,0.10031318757683039
17,32,790,0.00036985684996930106,1.7106414337529532e-05,0.5,0.09924518239373963
18,64,766,0.00018887932133570488,1.638530697869985e-06,0.3,0.10711380218466122
19,16,969,0.00029151453039810574,3.4367541585069304e-06,0.5,0.10058258716997347
20,128,984,0.0006829781598610611,1.605486913484424e-05,0.2,0.09506950154900551
21,128,554,0.00010925451338807022,1.1771731024249926e-05,0.3,0.09734534348050754
22,16,501,0.00045303685015972076,8.829724490729965e-06,0.4,0.1010933374103747
23,16,902,0.00022172510895568406,2.9217248040329244e-05,0.2,0.09764633335565266
24,32,923,0.0005883032257484262,1.7624511755085117e-06,0.2,0.10208871526022752
25,128,986,0.0001496109186751124,1.566882328188987e-05,0.5,0.09638777809838454
26,64,525,0.0005526229229485388,1.4300415474060905e-05,0.4,0.09522612268726031
27,128,951,0.000764444670482387,6.945586916729859e-05,0.2,0.09163030423223972
28,64,716,0.0007743401826857596,1.153662845157382e-06,0.3,0.10448168187091748
29,128,842,0.0003799330787618186,6.853551041396184e-05,0.2,0.09263520191113155
30,128,507,0.00014167389308763454,3.1245126323134966e-05,0.4,0.09285498410463333
31,16,565,0.00012199619451420708,2.1061871057646643e-05,0.3,0.09804972284718563
32,128,964,0.00011631995464597658,1.078866234575189e-06,0.5,0.11069344605008762
33,16,509,0.0001961296048814183,2.5618944636580424e-06,0.5,0.0945750314154123
34,64,679,0.00027649537489054583,6.980425480115031e-05,0.3,0.09594761797537406
35,16,889,0.00070229158880945,9.809010495021939e-06,0.2,0.1002256715768262
36,128,913,0.0005033145615723199,1.578815554388566e-06,0.4,0.10083342405656974
37,128,596,0.00019631683586716689,3.9831818023375885e-06,0.5,0.10029549648364385
38,16,693,0.00016990614734474426,1.4462269558609273e-06,0.2,0.10616805412267384
39,16,895,0.0007895338213902985,3.619565429085985e-06,0.3,0.10500387878794419
40,16,820,0.0004926287160296103,1.3049490390375124e-06,0.5,0.10487953416611019
41,32,530,0.0007071314401136881,6.207258140899973e-06,0.3,0.10342095714683334
42,128,958,8.464584418137015e-05,9.394805487029408e-06,0.5,0.09925350298484166
43,16,768,0.00013824526465458175,2.4031015654538987e-06,0.4,0.10425602832907124
44,32,877,0.0005278553218689197,3.0677322503571636e-05,0.4,0.09623173779497544
45,32,963,0.000335205199948257,2.154629250709821e-05,0.2,0.09778263947616021
46,32,896,0.000269501119283524,1.028384052285521e-06,0.4,0.1051552224283417
47,64,533,0.00027165607430066,2.9529808484099656e-06,0.4,0.10191475475827853
48,32,792,9.04478366969206e-05,4.60684322094685e-06,0.3,0.10669056372717023
49,32,805,0.0005926373532263178,3.307278123038863e-05,0.3,0.10079044786592324
50,32,838,0.0005494340098364232,4.281064485628227e-06,0.3,0.10019708005711436
